Order_ID,Order_Date,Customer,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Channel
SO000064,2024-01-11,Chinedu Johnson,Cape Town,Office,Headphones,3,1163,0.1,3140.1,2103.69,1036.41,Online
SO000065,2023-11-12,Ada Mensah,Nairobi,Computing,Office Chair,7,728,0.1,4586.4,3247.7,1338.7,Online
SO000066,2022-09-29,Karen Ogunleye,New York,Mobile,Laptop,1,1038,0.15,882.3,650.79,231.51,Online
SO000067,2022-02-06,Jennifer Okoye,Enugu,Mobile,Mouse,3,894,0.1,2413.8,1627.26,786.54,Online
SO000068,2022-05-13,Karen Wilson,Toronto,Office,Keyboard,2,641,0,1282,801.72,480.28,Retail
SO000069,2024-07-15,Sarah Brown,Nairobi,Office,Laptop,2,438,0.2,700.8,469.77,231.03,Online
SO000070,2023-05-03,Robert Eze,Benin City,Accessories,Power Bank,7,447,0,3129,2144.22,984.78,Retail
SO000071,2024-10-07,Emeka Wilson,Benin City,Accessories,Headphones,1,727,0,727,405.27,321.73,Retail
SO000072,2022-03-26,David Okoye,Kano,Office,Headphones,1,1250,0,1250,1011.73,238.27,Online
SO000073,2023-03-26,Ibrahim Adeyemi,Benin City,Accessories,Tablet,4,317,0,1268,851.76,416.24,Online
SO000074,2024-09-04,Jessica Ibrahim,Nairobi,Computing,Webcam,4,159,0,636,440.33,195.67,Online
SO000075,2023-04-01,Ibrahim Adebayo,Kano,Accessories,Office Chair,4,1591,0,6364,5076.78,1287.22,Online
SO000076,2025-02-24,Thomas Wilson,Nairobi,Accessories,Keyboard,1,722,0.05,685.9,492.69,193.21,Wholesale
SO000077,2025-07-21,Fatima Mensah,Enugu,Electronics,Mouse,4,269,0.05,1022.2,728.96,293.24,Wholesale
SO000078,2024-04-04,Emeka Ogunleye,Toronto,Mobile,Smartphone,6,483,0,2898,2208.14,689.86,Online
SO000079,2022-09-03,Charles Jones,Abuja,Electronics,Router,3,62,0.2,148.8,120.53,28.27,Retail
SO000080,2025-09-12,Robert Wilson,Abuja,Mobile,Webcam,2,859,0.15,1460.3,1177.97,282.33,Wholesale
SO000081,2022-12-22,Barbara Ibrahim,Dubai,Mobile,Office Chair,1,891,0,891,663.14,227.86,Wholesale
SO000082,2022-12-09,Fatima Adeyemi,Lagos,Accessories,Keyboard,3,932,0,2796,2270.75,525.25,Online
SO000083,2024-06-07,Tunde Smith,Abuja,Office,Smartphone,4,36,0.15,122.4,92.69,29.71,Wholesale
SO000084,2024-11-25,Joseph Brown,Enugu,Mobile,Mouse,6,1237,0.2,5937.6,4814.12,1123.48,Wholesale
SO000085,2025-02-20,Robert Ogunleye,Abuja,Computing,Printer,5,1305,0,6525,3710.66,2814.34,Retail
SO000086,2023-05-15,Blessing Johnson,Accra,Electronics,USB Hub,6,1044,0,6264,4673.49,1590.51,Retail
SO000087,2022-12-17,Joseph Adebayo,Nairobi,Electronics,Office Chair,6,32,0,192,148.1,43.9,Wholesale
SO000088,2024-05-07,Linda Thomas,Toronto,Accessories,Smartphone,6,273,0.2,1310.4,852.98,457.42,Online
SO000089,2024-03-06,Blessing Bello,Toronto,Computing,Desk,1,72,0,72,40.9,31.1,Wholesale
SO000090,2022-05-21,Barbara Miller,Port Harcourt,Mobile,Printer,3,677,0.2,1624.8,1013.05,611.75,Online
SO000091,2023-04-17,David Davis,Lagos,Office,Laptop,4,1312,0.1,4723.2,3314.35,1408.85,Online
SO000092,2025-05-06,Susan Bello,Cape Town,Accessories,USB Hub,2,1364,0.15,2318.8,1784.1,534.7,Wholesale
SO000093,2024-05-15,Ngozi Bello,Ibadan,Computing,Webcam,4,1506,0.05,5722.8,4439.32,1283.48,Online
SO000094,2023-03-15,Ibrahim Adebayo,Port Harcourt,Computing,Desk,3,38,0,114,90.96,23.04,Wholesale
SO000095,2025-02-27,Blessing Brown,Port Harcourt,Electronics,Router,5,32,0,160,115.88,44.12,Wholesale
SO000096,2024-08-08,Yusuf Musa,Lagos,Mobile,Webcam,3,1428,0.05,4069.8,2764.95,1304.85,Retail
SO000097,2025-11-06,Patricia Johnson,Dubai,Computing,USB Hub,1,988,0.1,889.2,635.14,254.06,Wholesale
SO000098,2024-08-12,Joseph Mensah,Johannesburg,Accessories,Smartphone,2,1054,0,2108,1504.96,603.04,Online
SO000099,2023-01-15,Robert Eze,London,Mobile,External SSD,5,1451,0,7255,5121.31,2133.69,Online
SO000100,2025-03-25,Patricia Adeyemi,London,Office,Keyboard,2,114,0,228,184.66,43.34,Retail
SO000101,2024-12-11,Aisha Adebayo,Accra,Mobile,Keyboard,1,1354,0.2,1083.2,600.2,483.0,Wholesale
SO000102,2023-11-13,Emeka Miller,Cape Town,Computing,Monitor,5,1073,0,5365,3077.54,2287.46,Retail
SO000103,2022-07-10,Barbara Musa,Lagos,Electronics,USB Hub,3,1332,0,3996,2620.13,1375.87,Online
SO000104,2022-06-26,Ngozi Okoye,Accra,Office,Office Chair,8,1494,0,11952,8050.48,3901.52,Online
SO000105,2024-10-03,Michael Bello,Nairobi,Computing,Webcam,4,835,0,3340,2622.21,717.79,Online
SO000106,2024-08-24,Jennifer Adeyemi,Enugu,Mobile,Office Chair,1,1487,0,1487,1019.97,467.03,Retail
SO000107,2023-01-11,Robert Brown,Benin City,Electronics,Power Bank,7,574,0.1,3616.2,2461.29,1154.91,Online
SO000108,2025-08-17,Susan Okafor,Toronto,Accessories,Smartphone,7,1422,0,9954,5876.53,4077.47,Wholesale
SO000109,2023-11-13,Blessing Adebayo,Accra,Office,Mouse,5,397,0.15,1687.25,929.2,758.05,Wholesale
SO000110,2022-01-20,Joseph Eze,Ibadan,Computing,Desk,6,968,0,5808,3279.51,2528.49,Online
SO000111,2022-04-04,Aisha Ibrahim,Lagos,Electronics,Webcam,1,245,0.15,208.25,133.86,74.39,Wholesale
SO000112,2025-04-30,David Bello,London,Office,Power Bank,2,1690,0.1,3042.0,1868.58,1173.42,Wholesale
SO000113,2022-09-28,Karen Eze,Accra,Mobile,External SSD,8,439,0,3512,2687.99,824.01,Retail
SO000114,2025-09-14,Yusuf Thomas,New York,Computing,External SSD,6,44,0.2,211.2,122.68,88.52,Wholesale
SO000115,2025-05-24,Tunde Davis,Toronto,Accessories,Power Bank,2,717,0.05,1362.3,888.88,473.42,Wholesale
SO000116,2024-11-27,Susan Thomas,Cape Town,Accessories,Laptop,2,1379,0,2758,1528.14,1229.86,Retail
SO000117,2023-06-14,William Jones,Toronto,Mobile,Office Chair,6,1444,0,8664,4957.46,3706.54,Retail
SO000118,2024-01-14,Thomas Brown,Dubai,Electronics,Mouse,1,1193,0.05,1133.35,627.96,505.39,Online
SO000119,2024-07-11,Patricia Eze,Kano,Accessories,Keyboard,3,614,0.1,1657.8,1070.18,587.62,Wholesale
SO000120,2023-04-26,Joseph Miller,Enugu,Computing,Monitor,1,711,0,711,495.73,215.27,Wholesale
SO000121,2024-06-13,Patricia Okafor,London,Office,Office Chair,6,98,0,588,442.7,145.3,Retail
SO000122,2023-07-13,Yusuf Wilson,Ibadan,Computing,External SSD,1,1268,0.15,1077.8,773.55,304.25,Online
SO000123,2024-11-03,David Thomas,London,Computing,Webcam,8,1582,0.1,11390.4,8472.61,2917.79,Online
SO000124,2025-05-24,Jessica Mensah,Toronto,Office,Smartphone,5,773,0.2,3092.0,2085.74,1006.26,Retail
SO000125,2024-07-23,Emeka Wilson,Ibadan,Mobile,Power Bank,5,473,0.1,2128.5,1710.25,418.25,Retail
SO000126,2023-09-03,Susan Ibrahim,Nairobi,Computing,Router,5,267,0.05,1268.25,867.99,400.26,Wholesale
SO000127,2023-11-26,James Davis,Lagos,Computing,Desk,2,208,0,416,230.28,185.72,Retail
SO000128,2025-02-08,Patricia Ogunleye,Ibadan,Mobile,Printer,8,1056,0,8448,5490.04,2957.96,Online
SO000129,2025-05-16,David Smith,Port Harcourt,Office,Tablet,4,1747,0,6988,5611.94,1376.06,Wholesale
SO000130,2025-08-02,Aisha Brown,Cape Town,Accessories,Desk,3,544,0.05,1550.4,972.0,578.4,Online
SO000131,2023-08-03,James Adebayo,Port Harcourt,Electronics,External SSD,7,1012,0.1,6375.6,5139.32,1236.28,Wholesale
SO000132,2024-10-22,Aisha Anderson,Johannesburg,Mobile,USB Hub,3,413,0,1239,784.34,454.66,Retail
SO000133,2023-10-10,Ibrahim Smith,Toronto,Office,Printer,7,1080,0.1,6804.0,5139.57,1664.43,Wholesale
SO000134,2022-01-02,Emeka Adeyemi,New York,Office,Webcam,5,908,0.15,3859.0,2365.98,1493.02,Retail
SO000135,2022-05-22,Linda Musa,Johannesburg,Mobile,Headphones,4,561,0.15,1907.4,1505.53,401.87,Online
SO000136,2022-08-11,Yusuf Mensah,Kano,Mobile,Router,3,417,0.1,1125.9,631.49,494.41,Wholesale
SO000137,2023-05-08,Charles Thomas,Johannesburg,Office,Desk,2,1553,0.15,2640.1,2042.67,597.43,Wholesale
SO000138,2023-10-21,Susan Anderson,Lagos,Office,Monitor,7,1591,0.1,10023.3,8164.55,1858.75,Retail
SO000139,2022-10-28,Linda Brown,Benin City,Accessories,USB Hub,7,1614,0.05,10733.1,6866.9,3866.2,Wholesale
SO000140,2022-02-13,Ngozi Adebayo,Lagos,Office,Router,2,845,0.15,1436.5,1177.52,258.98,Retail
SO000141,2024-06-16,Barbara Bello,Dubai,Office,Power Bank,1,669,0,669,540.72,128.28,Retail
SO000142,2023-10-29,Blessing Williams,Kano,Electronics,Laptop,5,1340,0,6700,4407.24,2292.76,Online
SO000143,2023-09-28,Patricia Davis,Ibadan,Mobile,Keyboard,6,1641,0.15,8369.1,6004.16,2364.94,Retail
SO000144,2025-05-22,Daniel Okafor,Johannesburg,Mobile,External SSD,4,301,0.15,1023.4,803.73,219.67,Online
SO000145,2025-08-11,James Brown,Enugu,Electronics,Laptop,8,1720,0.1,12384.0,7418.04,4965.96,Retail
SO000146,2024-02-13,Chinedu Williams,Johannesburg,Electronics,External SSD,1,582,0.1,523.8,352.07,171.73,Online
SO000147,2023-04-10,Aisha Ogunleye,Johannesburg,Mobile,Keyboard,6,800,0.15,4080.0,3277.61,802.39,Wholesale
SO000148,2024-05-26,Daniel Johnson,Abuja,Electronics,Printer,4,97,0,388,298.39,89.61,Retail
SO000149,2025-12-17,James Miller,Benin City,Mobile,Keyboard,3,708,0.15,1805.4,1320.36,485.04,Online
SO000150,2024-02-01,David Adebayo,Abuja,Electronics,Laptop,5,162,0.05,769.5,447.09,322.41,Retail
SO000151,2023-09-29,Karen Wilson,Accra,Mobile,Monitor,1,509,0,509,416.11,92.89,Wholesale
SO000152,2022-06-15,William Davis,London,Accessories,USB Hub,6,1725,0.15,8797.5,5803.0,2994.5,Online
SO000153,2023-11-18,Fatima Eze,Abuja,Electronics,USB Hub,6,1708,0,10248,7048.88,3199.12,Wholesale
SO000154,2024-12-11,Karen Anderson,Dubai,Office,Laptop,2,89,0,178,106.18,71.82,Online
SO000155,2025-12-31,Robert Ibrahim,Johannesburg,Mobile,External SSD,5,1405,0.05,6673.75,4842.56,1831.19,Online
SO000156,2025-05-13,Fatima Johnson,Abuja,Electronics,Office Chair,6,238,0.15,1213.8,688.98,524.82,Retail
SO000157,2023-03-29,John Adebayo,Lagos,Office,Webcam,6,1159,0,6954,5395.3,1558.7,Online
SO000158,2022-02-04,Chinedu Jones,Accra,Electronics,Keyboard,2,269,0.2,430.4,256.72,173.68,Online
SO000159,2022-09-22,Thomas Anderson,Port Harcourt,Accessories,Office Chair,3,1006,0,3018,1761.89,1256.11,Wholesale
SO000160,2023-10-26,Blessing Bello,Cape Town,Computing,Desk,1,194,0.1,174.6,112.9,61.7,Retail
SO000161,2023-03-26,Blessing Eze,Benin City,Office,Keyboard,2,1457,0,2914,2294.88,619.12,Retail
SO000162,2023-10-05,Ngozi Adeyemi,Benin City,Accessories,External SSD,2,1195,0,2390,1773.86,616.14,Retail
SO000163,2025-05-26,Barbara Thomas,New York,Mobile,Office Chair,4,332,0.2,1062.4,617.76,444.64,Online
SO000164,2022-04-04,Thomas Ibrahim,Benin City,Accessories,Monitor,5,186,0.1,837.0,662.05,174.95,Wholesale
SO000165,2022-01-24,Ngozi Ogunleye,London,Electronics,Power Bank,1,759,0.2,607.2,345.21,261.99,Retail
SO000166,2025-07-29,William Williams,Enugu,Electronics,USB Hub,8,943,0.2,6035.2,4634.08,1401.12,Retail
SO000167,2023-05-26,Blessing Davis,Johannesburg,Office,USB Hub,2,912,0,1824,1042.2,781.8,Wholesale
SO000168,2022-09-24,Michael Wilson,Enugu,Accessories,Keyboard,2,245,0.1,441.0,305.04,135.96,Retail
SO000169,2022-09-01,James Anderson,Nairobi,Accessories,Monitor,2,132,0,264,199.69,64.31,Online
SO000170,2024-03-20,Karen Ogunleye,Accra,Office,Desk,1,322,0.05,305.9,240.17,65.73,Online
SO000171,2022-05-04,David Smith,Nairobi,Computing,Power Bank,7,1377,0,9639,5728.1,3910.9,Online
SO000172,2024-04-26,Tunde Adebayo,Dubai,Electronics,Printer,2,1319,0,2638,1779.08,858.92,Online
SO000173,2023-03-22,Karen Wilson,Nairobi,Mobile,Monitor,6,396,0,2376,1571.9,804.1,Online
SO000174,2025-10-02,Patricia Mensah,Toronto,Mobile,Office Chair,7,971,0,6797,5134.18,1662.82,Retail
SO000175,2022-02-19,Barbara Ogunleye,Abuja,Electronics,Printer,4,446,0.2,1427.2,965.33,461.87,Wholesale
SO000176,2025-08-19,Karen Okafor,Cape Town,Office,External SSD,6,815,0.15,4156.5,2840.21,1316.29,Online
SO000177,2022-09-02,Tunde Davis,Ibadan,Office,Monitor,2,688,0.15,1169.6,685.46,484.14,Wholesale
SO000178,2025-01-03,Tunde Smith,Toronto,Office,Power Bank,6,1334,0,8004,5396.42,2607.58,Retail
SO000179,2024-01-19,Aisha Musa,Lagos,Accessories,Office Chair,1,158,0.15,134.3,101.16,33.14,Online
SO000180,2023-08-03,Ibrahim Johnson,Accra,Mobile,Headphones,3,1443,0.2,3463.2,2722.77,740.43,Online
SO000181,2025-04-29,Jessica Miller,Toronto,Computing,Router,1,1125,0,1125,884.73,240.27,Retail
SO000182,2023-04-21,Barbara Bello,Dubai,Office,Power Bank,4,1332,0,5328,3043.89,2284.11,Retail
SO000183,2022-07-26,Patricia Mensah,Abuja,Mobile,External SSD,3,746,0.05,2126.1,1212.7,913.4,Wholesale
SO000184,2022-07-19,Patricia Musa,Enugu,Mobile,Tablet,6,607,0.15,3095.7,2370.81,724.89,Retail
SO000185,2023-10-15,David Thomas,Benin City,Computing,Router,2,303,0,606,369.23,236.77,Online
SO000186,2025-08-21,Daniel Musa,Port Harcourt,Office,Headphones,4,1717,0,6868,4034.85,2833.15,Retail
SO000187,2025-12-12,Michael Okafor,Dubai,Electronics,Monitor,2,1553,0.05,2950.7,2002.26,948.44,Wholesale
SO000188,2022-01-19,Thomas Williams,Accra,Mobile,Keyboard,2,1794,0.2,2870.4,1927.26,943.14,Online
SO000189,2025-08-30,Robert Okoye,Kano,Accessories,External SSD,4,408,0.1,1468.8,1180.83,287.97,Retail
SO000190,2023-10-17,Jessica Okoye,London,Accessories,Monitor,2,1451,0.2,2321.6,1732.39,589.21,Online
SO000191,2024-01-04,Sarah Bello,New York,Mobile,Webcam,8,204,0.15,1387.2,770.43,616.77,Online
SO000192,2024-09-18,Ada Bello,Dubai,Mobile,Desk,5,22,0.05,104.5,62.74,41.76,Online
SO000193,2022-12-07,Robert Mensah,Accra,Computing,Keyboard,6,1091,0.2,5236.8,3764.7,1472.1,Online
SO000194,2024-09-29,David Ogunleye,Lagos,Accessories,Smartphone,3,1706,0.1,4606.2,2949.17,1657.03,Retail
SO000195,2025-01-07,Chinedu Williams,Abuja,Electronics,Headphones,7,1279,0.1,8057.7,4746.39,3311.31,Retail
SO000196,2022-10-28,Barbara Jones,Accra,Accessories,Desk,3,726,0,2178,1719.28,458.72,Wholesale
SO000197,2025-12-02,Joseph Okoye,Abuja,Electronics,Tablet,2,279,0.2,446.4,360.85,85.55,Online
SO000198,2025-03-20,Joseph Okafor,Toronto,Electronics,Smartphone,4,74,0.15,251.6,173.49,78.11,Wholesale
SO000199,2025-07-17,Joseph Ogunleye,Port Harcourt,Mobile,Laptop,1,586,0.15,498.1,377.1,121.0,Online
SO000200,2025-05-01,Jennifer Anderson,Benin City,Computing,Tablet,2,55,0.1,99.0,68.23,30.77,Online
SO000201,2025-07-11,Robert Okoye,New York,Accessories,Keyboard,4,769,0,3076,2278.37,797.63,Online
SO000202,2024-04-21,Chinedu Okoye,Lagos,Office,Office Chair,3,178,0.15,453.9,302.63,151.27,Retail
SO000203,2023-12-25,Yusuf Davis,New York,Computing,Headphones,1,1106,0,1106,842.27,263.73,Wholesale
SO000204,2024-01-25,Thomas Okafor,Accra,Electronics,Laptop,4,1243,0.15,4226.2,2546.1,1680.1,Wholesale
SO000205,2023-04-13,Jessica Brown,Benin City,Office,Router,8,197,0,1576,1241.65,334.35,Retail
SO000206,2023-09-08,John Johnson,Dubai,Computing,Desk,6,1527,0,9162,5045.18,4116.82,Retail
SO000207,2024-06-03,Jennifer Bello,Ibadan,Computing,Power Bank,4,1629,0,6516,3609.78,2906.22,Wholesale
SO000208,2024-08-07,Linda Davis,Cape Town,Office,Mouse,4,647,0.1,2329.2,1897.71,431.49,Wholesale
SO000209,2025-03-23,Jennifer Adebayo,Ibadan,Computing,Monitor,3,1499,0.15,3822.45,2749.98,1072.47,Wholesale
SO000210,2024-11-30,Ibrahim Miller,Toronto,Accessories,Webcam,4,204,0.15,693.6,485.95,207.65,Wholesale
SO000211,2023-04-19,Susan Musa,Nairobi,Mobile,Desk,2,953,0.15,1620.1,1021.46,598.64,Retail
SO000212,2022-04-23,Robert Musa,Toronto,Accessories,Monitor,3,1745,0.15,4449.75,3108.64,1341.11,Wholesale
SO000213,2024-10-25,William Davis,Accra,Computing,Headphones,2,1432,0.05,2720.8,1874.03,846.77,Wholesale
SO000214,2024-03-20,Emeka Smith,Nairobi,Electronics,Tablet,2,1106,0.05,2101.4,1614.82,486.58,Online
SO000215,2022-08-10,Michael Williams,London,Computing,Printer,2,574,0,1148,887.58,260.42,Retail
SO000216,2022-06-15,Linda Okoye,Dubai,Electronics,Smartphone,5,230,0.1,1035.0,840.35,194.65,Wholesale
SO000217,2022-09-28,Tunde Jones,Benin City,Office,Laptop,8,650,0.05,4940.0,3975.41,964.59,Retail
SO000218,2024-01-21,Ibrahim Adebayo,Enugu,Mobile,Mouse,6,1248,0.15,6364.8,4760.2,1604.6,Online
SO000219,2022-05-06,Jennifer Musa,Ibadan,Office,Laptop,3,238,0,714,419.62,294.38,Online
SO000220,2023-07-02,Ada Okafor,Kano,Mobile,Power Bank,4,660,0,2640,1942.36,697.64,Retail
SO000221,2022-07-22,Ngozi Thomas,Enugu,Electronics,Webcam,6,1464,0.1,7905.6,5572.21,2333.39,Retail
SO000222,2023-04-14,David Davis,Lagos,Mobile,Power Bank,6,405,0,2430,1638.31,791.69,Online
SO000223,2023-06-23,Ngozi Ogunleye,Port Harcourt,Mobile,Keyboard,8,1619,0,12952,7934.88,5017.12,Wholesale
SO000224,2023-09-10,Susan Adeyemi,Accra,Mobile,Laptop,1,768,0,768,497.27,270.73,Retail
SO000225,2025-09-13,Fatima Thomas,London,Office,USB Hub,2,1755,0.2,2808.0,2061.79,746.21,Wholesale
SO000226,2023-03-01,Emeka Bello,Cape Town,Accessories,Desk,6,149,0.1,804.6,559.37,245.23,Online
SO000227,2025-05-09,Elizabeth Bello,Toronto,Electronics,External SSD,7,141,0.2,789.6,573.6,216.0,Retail
SO000228,2023-01-15,Mary Eze,Johannesburg,Mobile,Mouse,2,1330,0.1,2394.0,1719.66,674.34,Online
SO000229,2025-07-28,Yusuf Wilson,Kano,Mobile,Smartphone,5,204,0,1020,668.78,351.22,Retail
SO000230,2025-03-18,Emeka Eze,Abuja,Mobile,Mouse,1,990,0,990,582.7,407.3,Online
